FULL_CU_IN,Area,Species,SMU,SMU Proper
SEL-11-02,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
SEL-12-01,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
SEL-11-03,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
SEL-11-04,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
SEL-11-05,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
SEL-12-02,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
SEL-12-03,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
CM-31,NORTH COAST,Chum,NASS CHUM SALMON,Nass Chum Salmon
CM-27,NORTH COAST,Chum,SKEENA CHUM SALMON,Skeena Chum Salmon
CM-28,NORTH COAST,Chum,SKEENA CHUM SALMON,Skeena Chum Salmon
CK-60,TRANS,Chinook,STIKINE CHINOOK SALMON,Stikine Chinook Salmon
CK-61,TRANS,Chinook,STIKINE CHINOOK SALMON,Stikine Chinook Salmon
CO-39,TRANS,Coho,STIKINE COHO SALMON,Stikine Coho Salmon
SEL-11-11,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
SEL-11-06,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
SEL-12-05,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
CO-1,SOUTH COAST,Coho,STRAIT OF GEORGIA COHO SALMON,Strait Of Georgia Coho Salmon
CO-13,SOUTH COAST,Coho,STRAIT OF GEORGIA COHO SALMON,Strait Of Georgia Coho Salmon
CO-11,SOUTH COAST,Coho,STRAIT OF GEORGIA COHO SALMON,Strait Of Georgia Coho Salmon
CO-10,SOUTH COAST,Coho,STRAIT OF GEORGIA COHO SALMON,Strait Of Georgia Coho Salmon
CK-63,TRANS,Chinook,TAKU CHINOOK SALMON,Taku Chinook Salmon
CK-65,TRANS,Chinook,TAKU CHINOOK SALMON,Taku Chinook Salmon
CK-64,TRANS,Chinook,TAKU CHINOOK SALMON,Taku Chinook Salmon
CO-43,TRANS,Coho,TAKU COHO SALMON,Taku Coho Salmon
CO-41,TRANS,Coho,TAKU COHO SALMON,Taku Coho Salmon
CO-42,TRANS,Coho,TAKU COHO SALMON,Taku Coho Salmon
SEL-11-07,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
SEL-12-06,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
SEL-12-07,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
SEL-11-09,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
CM-36,TRANS,Chum,TRANSBOUNDARY CHUM SALMON,Transboundary Chum Salmon
CK-29,SOUTH COAST,Chinook,UPPER GEORGIA STRAIT,Upper Georgia Strait
,SOUTH COAST,Chinook,UPPER GEORGIA STRAIT,Upper Georgia Strait
SEL-12-09,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
SEL-11-10,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
SEL-12-08,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
CK-32,SOUTH COAST,Chinook,WCVI CHINOOK SALMON,WCVI Chinook Salmon
CK-33,SOUTH COAST,Chinook,WCVI CHINOOK SALMON,WCVI Chinook Salmon
CK-31,SOUTH COAST,Chinook,WCVI CHINOOK SALMON,WCVI Chinook Salmon
,SOUTH COAST,Chinook,WCVI CHINOOK SALMON,WCVI Chinook Salmon
CM-11,SOUTH COAST,Chum,WCVI CHUM SALMON,WCVI Chum Salmon
CM-10,SOUTH COAST,Chum,WCVI CHUM SALMON,WCVI Chum Salmon
CO-18,SOUTH COAST,Coho,WCVI COHO SALMON,WCVI Coho Salmon
CO-16,SOUTH COAST,Coho,WCVI COHO SALMON,WCVI Coho Salmon
CO-17,SOUTH COAST,Coho,WCVI COHO SALMON,WCVI Coho Salmon
SEL-13-08,SOUTH COAST,Sockeye,WCVI - BARKLEY SOCKEYE SALMON,WCVI - Barkley Sockeye Salmon
SEL-13-09,SOUTH COAST,Sockeye,WCVI - BARKLEY SOCKEYE SALMON,WCVI - Barkley Sockeye Salmon
SEL-13-25,SOUTH COAST,Sockeye,WCVI - BARKLEY SOCKEYE SALMON,WCVI - Barkley Sockeye Salmon
SEL-13-01,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-02,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-03,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-04,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-05,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-06,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-07,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-10,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-11,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-12,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-13,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-14,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-15,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-16,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-17,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-18,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-19,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-20,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SEL-13-21,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
PKE-3,SOUTH COAST,Even Year Pink,WCVI PINK SALMON,WCVI Pink Salmon
PKE-2,SOUTH COAST,Even Year Pink,WCVI PINK SALMON,WCVI Pink Salmon
PKO-6,SOUTH COAST,Odd Year Pink,WCVI PINK SALMON,WCVI Pink Salmon
CK-70,YUKON,Chinook,YUKON CHINOOK SALMON,Yukon Chinook Salmon
CK-73,YUKON,Chinook,YUKON CHINOOK SALMON,Yukon Chinook Salmon
CK-71,YUKON,Chinook,YUKON CHINOOK SALMON,Yukon Chinook Salmon
CK-76,YUKON,Chinook,YUKON CHINOOK SALMON,Yukon Chinook Salmon
CK-79,YUKON,Chinook,PORCUPINE CHINOOK SALMON,Porcupine Chinook Salmon
CK-72,YUKON,Chinook,YUKON CHINOOK SALMON,Yukon Chinook Salmon
CK-78,YUKON,Chinook,PORCUPINE CHINOOK SALMON,Porcupine Chinook Salmon
CK-77,YUKON,Chinook,PORCUPINE CHINOOK SALMON,Porcupine Chinook Salmon
CK-74,YUKON,Chinook,YUKON CHINOOK SALMON,Yukon Chinook Salmon
CK-69,YUKON,Chinook,YUKON CHINOOK SALMON,Yukon Chinook Salmon
CK-75,YUKON,Chinook,YUKON CHINOOK SALMON,Yukon Chinook Salmon
CK-68,YUKON,Chinook,YUKON CHINOOK SALMON,Yukon Chinook Salmon
CM-45,YUKON,Chum,YUKON CHUM SALMON,Yukon Chum Salmon
CM-42,YUKON,Chum,YUKON CHUM SALMON,Yukon Chum Salmon
CM-43,YUKON,Chum,YUKON CHUM SALMON,Yukon Chum Salmon
CM-48,YUKON,Chum,YUKON CHUM SALMON,Yukon Chum Salmon
CM-38,YUKON,Chum,YUKON CHUM SALMON,Yukon Chum Salmon
CM-44,YUKON,Chum,YUKON CHUM SALMON,Yukon Chum Salmon
CM-46,YUKON,Chum,YUKON CHUM SALMON,Yukon Chum Salmon
SEL-13-22,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
CM-26,NORTH COAST,Chum,SKEENA - NASS COASTAL,Skeena - Nass Coastal
CM-30,NORTH COAST,Chum,SKEENA - NASS COASTAL,Skeena - Nass Coastal
CM-32,NORTH COAST,Chum,SKEENA - NASS COASTAL,Skeena - Nass Coastal
SEL-13-23,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
CK-9005,SOUTH COAST,Chinook,NO DESIGNATED SMU,No Designated Smu
CM-1,FRASER,Chum,FRASER CHUM SALMON,Fraser Chum Salmon
PKE-13,TRANS,Even Year Pink,Transboundary Pink Salmon,Transboundary Pink Salmon
CK-9008,FRASER,Chinook,NO DESIGNATED SMU,No Designated Smu
PKO-19,TRANS,Odd Year Pink,Transboundary Pink Salmon,Transboundary Pink Salmon
PKO-2,SOUTH COAST,Odd Year Pink,NO DESIGNATED SMU,No Designated Smu
PKE-9005,FRASER,Even Year Pink,NO DESIGNATED SMU,No Designated Smu
SEL-13-26,SOUTH COAST,Sockeye,WCVI -OTHER SOCKEYE SALMON,WCVI -Other Sockeye Salmon
SER-08,SOUTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SER-09,SOUTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SER-10,SOUTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SER-11,SOUTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SEL-30-01,TRANS,Sockeye,ALSEK SOCKEYE SALMON,Alsek Sockeye Salmon
SEL-30-02,TRANS,Sockeye,ALSEK SOCKEYE SALMON,Alsek Sockeye Salmon
SEL-30-03,TRANS,Sockeye,ALSEK SOCKEYE SALMON,Alsek Sockeye Salmon
SEL-26-01,TRANS,Sockeye,STIKINE SOCKEYE SALMON,Stikine Sockeye Salmon
SEL-26-03,TRANS,Sockeye,STIKINE SOCKEYE SALMON,Stikine Sockeye Salmon
SEL-26-02,TRANS,Sockeye,STIKINE SOCKEYE SALMON,Stikine Sockeye Salmon
SEL-28-05,TRANS,Sockeye,TAKU SOCKEYE SALMON,Taku Sockeye Salmon
SEL-28-01,TRANS,Sockeye,TAKU SOCKEYE SALMON,Taku Sockeye Salmon
SEL-28-02,TRANS,Sockeye,TAKU SOCKEYE SALMON,Taku Sockeye Salmon
SEL-28-03,TRANS,Sockeye,TAKU SOCKEYE SALMON,Taku Sockeye Salmon
SER-24,TRANS,Sockeye,NO DESIGNATED SMU,No Designated Smu
