FULL_CU_IN,Area,Species,SMU,SMU Proper
CK-14,FRASER,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,Fraser Summer Run 52 Chinook Salmon
CK-16,FRASER,Chinook,FRASER SPRING RUN 42 CHINOOK SALMON,Fraser Spring Run 42 Chinook Salmon
CK-2,FRASER,Chinook,NO DESIGNATED SMU,No Designated Smu
SEL-24-04,NORTH COAST,Sockeye,NASS SOCKEYE SALMON,Nass Sockeye Salmon
CK-44,NORTH COAST,Chinook,HAIDA GWAII CHINOOK SALMON,Haida Gwaii Chinook Salmon
CK-43,NORTH COAST,Chinook,HAIDA GWAII CHINOOK SALMON,Haida Gwaii Chinook Salmon
CM-21,NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,Haida Gwaii Chum Salmon
CM-24,NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,Haida Gwaii Chum Salmon
CM-25,NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,Haida Gwaii Chum Salmon
CM-22,NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,Haida Gwaii Chum Salmon
CM-23,NORTH COAST,Chum,HAIDA GWAII CHUM SALMON,Haida Gwaii Chum Salmon
CO-23,NORTH COAST,Coho,HAIDA GWAII COHO SALMON,Haida Gwaii Coho Salmon
CO-25,NORTH COAST,Coho,HAIDA GWAII COHO SALMON,Haida Gwaii Coho Salmon
CO-24,NORTH COAST,Coho,HAIDA GWAII COHO SALMON,Haida Gwaii Coho Salmon
PKE-10,NORTH COAST,Even Year Pink,HAIDA GWAII PINK SALMON,Haida Gwaii Pink Salmon
PKE-9,NORTH COAST,Even Year Pink,HAIDA GWAII PINK SALMON,Haida Gwaii Pink Salmon
PKE-11,NORTH COAST,Even Year Pink,HAIDA GWAII PINK SALMON,Haida Gwaii Pink Salmon
PKO-9,NORTH COAST,Odd Year Pink,HAIDA GWAII PINK SALMON,Haida Gwaii Pink Salmon
PKO-10,NORTH COAST,Odd Year Pink,HAIDA GWAII PINK SALMON,Haida Gwaii Pink Salmon
PKO-11,NORTH COAST,Odd Year Pink,HAIDA GWAII PINK SALMON,Haida Gwaii Pink Salmon
SEL-24-05,NORTH COAST,Sockeye,NASS SOCKEYE SALMON,Nass Sockeye Salmon
SEL-24-06,NORTH COAST,Sockeye,NASS SOCKEYE SALMON,Nass Sockeye Salmon
SEL-21-03,NORTH COAST,Sockeye,NASS SOCKEYE SALMON,Nass Sockeye Salmon
SEL-15-01,NORTH COAST,Sockeye,RIVERS/SMITH SOCKEYE SALMON,Rivers/Smith Sockeye Salmon
SEL-15-02,NORTH COAST,Sockeye,RIVERS/SMITH SOCKEYE SALMON,Rivers/Smith Sockeye Salmon
SEL-15-03,NORTH COAST,Sockeye,RIVERS/SMITH SOCKEYE SALMON,Rivers/Smith Sockeye Salmon
SEL-16-01,NORTH COAST,Sockeye,RIVERS/SMITH SOCKEYE SALMON,Rivers/Smith Sockeye Salmon
SEL-15-04,NORTH COAST,Sockeye,RIVERS/SMITH SOCKEYE SALMON,Rivers/Smith Sockeye Salmon
SEL-23-01,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-20-01,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
CM-7,SOUTH COAST,Chum,INNER SOUTH COAST CHUM SALMON,Inner South Coast Chum Salmon
CM-4,SOUTH COAST,Chum,INNER SOUTH COAST CHUM SALMON,Inner South Coast Chum Salmon
CM-3,SOUTH COAST,Chum,INNER SOUTH COAST CHUM SALMON,Inner South Coast Chum Salmon
CM-6,SOUTH COAST,Chum,INNER SOUTH COAST CHUM SALMON,Inner South Coast Chum Salmon
CM-5,SOUTH COAST,Chum,INNER SOUTH COAST CHUM SALMON,Inner South Coast Chum Salmon
CM-8,SOUTH COAST,Chum,INNER SOUTH COAST CHUM SALMON,Inner South Coast Chum Salmon
CM-9,SOUTH COAST,Chum,INNER SOUTH COAST CHUM SALMON,Inner South Coast Chum Salmon
SEL-20-02,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-22-01,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
CK-82,FRASER,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,Fraser Summer Run 41 Chinook Salmon
CK-12,FRASER,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,Fraser Spring Run 52 Chinook Salmon
SEL-21-01,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
